Age,Gender,Occupation,Annual_Income_USD,Marital_Status,Has_Children,Hotel_Stay_Frequency,Preferred_Hotel_Type,Typical_Length_of_Stay,Stay_Reason,Comfort_With_Smart_Features,WiFi_Importance,Mobile_Checkin_Usage,Allow_Data_For_Personalization,Valued_Aspects,Smart_Features_Desired,Common_Challenges,Average_Spend_Per_Night,Willingness_To_Pay_Extra,Would_Recommend_AI_Hotel,AI_Preference_Score,Willing_To_Stay_At_IntelliStay,Willing_To_Share_Preferences
21,Female,Entrepreneur,13504,Married,No,1–2,Luxury,2–3 nights,Transit,Yes,Very Important,Always,No,Privacy,"AI Concierge, Personalized Room Temperature, Smart Mirror",Noisy rooms,162,< $5,Yes,9,No,Yes
25,Female,Entrepreneur,64909,Married,Yes,1–2,Budget,2–3 nights,Event,Yes,Somewhat Important,Sometimes,Yes,"Cleanliness, Ambience","Personalized Room Temperature, AI Concierge",Lack of personalization,153,$10–$20,Yes,10,Yes,Yes
40,Male,Working Professional,235670,Single,Yes,3–5,Airbnb,1 night,Leisure,Yes,Somewhat Important,Always,No,Technology,"Personalized Room Temperature, AI Concierge","Noisy rooms, Poor Wi-Fi",30,< $5,Yes,8,Yes,Yes
40,Male,Other,1219,Single,No,1–2,Airbnb,2–3 nights,Event,No,Very Important,Sometimes,No,"Ambience, Technology, Cleanliness","AI Concierge, Personalized Room Temperature","Poor Wi-Fi, Long check-in times",169,$10–$20,Yes,10,Yes,Yes
40,Male,Working Professional,91063,Married,Yes,1–2,Business,7+ nights,Transit,Yes,Very Important,Sometimes,Yes,"Food Quality, Cleanliness, Privacy","Personalized Room Temperature, Smart Lighting","Poor Wi-Fi, Long check-in times, Other",102,$10–$20,Yes,6,Yes,No
73,Male,Working Professional,38981,Single,Yes,6–10,Airbnb,4–6 nights,Event,Yes,Somewhat Important,Sometimes,Yes,"Cleanliness, Privacy, Food Quality","Personalized Room Temperature, Mood Music, Smart Lighting",Noisy rooms,139,< $5,Yes,8,Yes,Yes
40,Female,Retired,145047,Married,No,6–10,Boutique,2–3 nights,Transit,Yes,Somewhat Important,Always,Yes,"Cleanliness, Privacy",AI Concierge,"Other, Poor Wi-Fi",99,$5–$10,No,5,Yes,Yes
46,Female,Working Professional,25020,Single,Yes,More than 10,Luxury,2–3 nights,Event,Yes,Very Important,Always,Yes,"Staff Friendliness, Cleanliness, Technology",AI Concierge,Noisy rooms,117,$5–$10,No,10,Yes,Yes
44,Female,Entrepreneur,75194,Married,Yes,6–10,Boutique,4–6 nights,Other,Yes,Very Important,Always,Yes,"Technology, Cleanliness",Personalized Room Temperature,"Lack of personalization, Other",185,$10–$20,Yes,7,Yes,Yes
41,Female,Retired,2577,Divorced,No,3–5,Business,2–3 nights,Transit,Yes,Somewhat Important,Always,Yes,"Staff Friendliness, Technology","Personalized Room Temperature, AI Concierge",Long check-in times,136,$5–$10,Yes,9,Yes,Yes
31,Female,Student,16335,Single,Yes,1–2,Business,1 night,Leisure,No,Very Important,Sometimes,Yes,"Food Quality, Ambience","Smart Mirror, Personalized Room Temperature",Lack of personalization,183,$5–$10,No,3,Yes,Yes
42,Female,Retired,2774,Married,No,6–10,Luxury,1 night,Other,Yes,Very Important,Sometimes,No,"Staff Friendliness, Food Quality, Privacy","Smart Lighting, Smart Mirror, Mood Music","Poor Wi-Fi, Noisy rooms, Other",117,< $5,Yes,9,No,Yes
27,Prefer not to say,Working Professional,148107,Single,No,6–10,Airbnb,2–3 nights,Event,No,Very Important,Sometimes,Yes,Technology,Personalized Room Temperature,Noisy rooms,112,< $5,No,7,Yes,No
32,Male,Working Professional,67925,Married,No,6–10,Budget,7+ nights,Transit,Yes,Very Important,Sometimes,Yes,Food Quality,Smart Mirror,Poor Wi-Fi,120,$5–$10,Yes,8,Yes,Yes
30,Male,Working Professional,76569,Married,Yes,3–5,Business,2–3 nights,Other,Yes,Very Important,Always,Yes,"Privacy, Technology, Cleanliness","AI Concierge, Smart Mirror",Long check-in times,56,< $5,Yes,7,No,Yes
35,Male,Retired,111202,Married,No,1–2,Luxury,1 night,Leisure,Yes,Very Important,Always,Yes,Food Quality,"Smart Mirror, Smart Lighting, Personalized Room Temperature","Long check-in times, Lack of personalization, Poor Wi-Fi",30,< $5,Yes,7,Yes,Yes
58,Female,Student,3557,Married,No,6–10,Budget,1 night,Transit,Yes,Not Important,Always,Yes,"Privacy, Technology, Food Quality",Mood Music,"Lack of personalization, Other, Noisy rooms",80,$5–$10,Yes,6,Yes,Yes
16,Female,Working Professional,19484,Divorced,No,6–10,Airbnb,4–6 nights,Other,No,Somewhat Important,Never,Yes,Privacy,Smart Lighting,"Noisy rooms, Lack of personalization",171,< $5,Yes,7,Yes,No
41,Male,Working Professional,2947,Single,Yes,More than 10,Business,4–6 nights,Other,No,Very Important,Sometimes,No,"Cleanliness, Staff Friendliness, Technology","Smart Lighting, AI Concierge",Other,191,< $5,Yes,10,Yes,No
18,Non-Binary,Entrepreneur,9469,Single,No,1–2,Luxury,2–3 nights,Other,Yes,Somewhat Important,Always,No,"Food Quality, Technology",Smart Lighting,"Lack of personalization, Other, Noisy rooms",30,$5–$10,Yes,6,Yes,No
30,Male,Working Professional,10421,Divorced,No,1–2,Luxury,2–3 nights,Business,Yes,Very Important,Always,Yes,Cleanliness,"Smart Lighting, AI Concierge, Mood Music",Noisy rooms,184,< $5,Yes,10,Yes,Yes
45,Non-Binary,Working Professional,25327,Married,No,1–2,Luxury,1 night,Event,No,Very Important,Never,Yes,"Staff Friendliness, Cleanliness, Privacy","Smart Lighting, Smart Mirror, Mood Music","Other, Lack of personalization, Long check-in times",90,$10–$20,Yes,7,Yes,Yes
35,Male,Working Professional,12509,Divorced,No,6–10,Business,4–6 nights,Transit,Yes,Very Important,Sometimes,Yes,"Ambience, Staff Friendliness",AI Concierge,Poor Wi-Fi,48,< $5,Yes,10,Yes,No
24,Male,Working Professional,4257,Married,No,1–2,Budget,4–6 nights,Transit,Yes,Very Important,Sometimes,Yes,"Technology, Cleanliness",Smart Lighting,"Other, Poor Wi-Fi",172,$10–$20,Yes,9,Yes,No
27,Female,Entrepreneur,7332,Married,No,1–2,Luxury,2–3 nights,Transit,No,Somewhat Important,Sometimes,Yes,Privacy,"Personalized Room Temperature, Mood Music",Noisy rooms,94,$5–$10,Yes,4,Yes,No
41,Male,Working Professional,6372,Married,Yes,More than 10,Airbnb,4–6 nights,Other,Yes,Very Important,Always,Yes,"Staff Friendliness, Cleanliness, Ambience",AI Concierge,"Poor Wi-Fi, Noisy rooms",250,$10–$20,No,4,Yes,No
27,Male,Working Professional,144590,Married,No,1–2,Luxury,2–3 nights,Event,No,Very Important,Never,Yes,Cleanliness,Personalized Room Temperature,"Noisy rooms, Lack of personalization, Other",86,< $5,Yes,6,Yes,Yes
37,Male,Other,56966,Divorced,Yes,6–10,Budget,1 night,Leisure,Yes,Somewhat Important,Sometimes,No,"Privacy, Ambience, Technology",Mood Music,Lack of personalization,106,$20+,Yes,4,No,Yes
35,Female,Student,137383,Married,No,3–5,Business,2–3 nights,Transit,No,Very Important,Sometimes,Yes,"Technology, Food Quality","Mood Music, AI Concierge, Smart Mirror","Other, Lack of personalization",71,$10–$20,Yes,6,Yes,Yes
28,Female,Other,23174,Single,Yes,6–10,Luxury,1 night,Event,Yes,Somewhat Important,Never,Yes,Ambience,"Mood Music, AI Concierge, Personalized Room Temperature","Noisy rooms, Long check-in times, Poor Wi-Fi",127,< $5,Yes,7,Yes,Yes
56,Male,Working Professional,13049,Single,No,3–5,Luxury,2–3 nights,Event,Yes,Very Important,Sometimes,Yes,"Ambience, Staff Friendliness, Privacy","Smart Lighting, Smart Mirror",Noisy rooms,159,< $5,No,8,Yes,Yes
41,Female,Entrepreneur,64037,Single,Yes,More than 10,Airbnb,2–3 nights,Business,Yes,Very Important,Always,No,"Technology, Food Quality, Ambience","Smart Mirror, Mood Music, Personalized Room Temperature","Other, Poor Wi-Fi",33,$10–$20,Yes,7,No,Yes
14,Female,Working Professional,15796,Single,No,More than 10,Airbnb,2–3 nights,Transit,Yes,Somewhat Important,Sometimes,No,"Staff Friendliness, Food Quality",AI Concierge,"Other, Long check-in times, Noisy rooms",152,$20+,Yes,7,No,Yes
36,Male,Student,14231,Single,No,1–2,Luxury,2–3 nights,Other,Yes,Very Important,Always,Yes,Cleanliness,"Mood Music, AI Concierge, Personalized Room Temperature","Other, Noisy rooms, Long check-in times",99,$5–$10,Yes,9,No,Yes
28,Male,Entrepreneur,10584,Married,Yes,1–2,Luxury,2–3 nights,Event,Yes,Very Important,Always,Yes,"Staff Friendliness, Ambience, Cleanliness",Smart Lighting,"Poor Wi-Fi, Other",76,$5–$10,Yes,9,Yes,No
43,Male,Entrepreneur,5555,Married,Yes,1–2,Airbnb,1 night,Event,Yes,Somewhat Important,Sometimes,Yes,"Technology, Privacy, Ambience",AI Concierge,"Other, Lack of personalization",49,< $5,Yes,10,Yes,Yes
27,Male,Entrepreneur,11853,Married,Yes,3–5,Budget,2–3 nights,Leisure,No,Not Important,Always,Yes,Food Quality,"Smart Lighting, Personalized Room Temperature, AI Concierge","Long check-in times, Other, Lack of personalization",168,$5–$10,Yes,7,Yes,Yes
33,Female,Working Professional,17560,Married,No,6–10,Boutique,2–3 nights,Business,Yes,Very Important,Never,Yes,"Cleanliness, Technology","Mood Music, AI Concierge",Long check-in times,134,$5–$10,Yes,2,Yes,Yes
40,Male,Entrepreneur,44833,Single,No,3–5,Boutique,2–3 nights,Event,Yes,Very Important,Never,Yes,"Food Quality, Ambience, Cleanliness","AI Concierge, Smart Lighting, Mood Music","Other, Poor Wi-Fi",90,$5–$10,Yes,8,Yes,No
43,Female,Entrepreneur,2584,Single,No,3–5,Luxury,4–6 nights,Event,Yes,Very Important,Always,Yes,"Ambience, Staff Friendliness","AI Concierge, Mood Music","Noisy rooms, Lack of personalization, Poor Wi-Fi",158,< $5,Yes,10,Yes,Yes
22,Female,Working Professional,9454,Single,Yes,1–2,Airbnb,4–6 nights,Other,Yes,Very Important,Sometimes,Yes,Food Quality,"Personalized Room Temperature, Mood Music","Noisy rooms, Poor Wi-Fi",146,< $5,Yes,9,Yes,Yes
31,Male,Entrepreneur,66224,Married,No,6–10,Business,4–6 nights,Other,Yes,Very Important,Never,Yes,"Ambience, Technology","Mood Music, Personalized Room Temperature, Smart Lighting","Long check-in times, Noisy rooms, Other",163,$10–$20,Yes,10,No,Yes
30,Female,Entrepreneur,6356,Single,No,More than 10,Business,2–3 nights,Leisure,Yes,Very Important,Sometimes,No,"Ambience, Cleanliness","Smart Mirror, Personalized Room Temperature","Poor Wi-Fi, Long check-in times, Other",202,$10–$20,Yes,7,Yes,Yes
28,Male,Working Professional,16781,Single,No,1–2,Boutique,1 night,Leisure,No,Very Important,Sometimes,Yes,Ambience,"AI Concierge, Smart Mirror, Mood Music","Lack of personalization, Other, Noisy rooms",130,$5–$10,Yes,9,Yes,Yes
52,Prefer not to say,Student,79998,Married,No,3–5,Budget,2–3 nights,Leisure,Yes,Very Important,Sometimes,Yes,"Ambience, Cleanliness, Food Quality","Personalized Room Temperature, Smart Lighting, AI Concierge",Noisy rooms,216,$20+,Yes,10,Yes,Yes
39,Female,Working Professional,6733,Married,Yes,1–2,Boutique,2–3 nights,Other,Yes,Somewhat Important,Sometimes,Yes,"Technology, Privacy, Ambience","Mood Music, Personalized Room Temperature, Smart Mirror","Noisy rooms, Poor Wi-Fi",191,$5–$10,No,6,Yes,No
22,Female,Student,3454,Single,Yes,3–5,Luxury,2–3 nights,Other,No,Somewhat Important,Sometimes,Yes,Staff Friendliness,Smart Lighting,Long check-in times,159,$5–$10,Yes,6,Yes,Yes
44,Female,Working Professional,26507,Married,Yes,3–5,Budget,1 night,Business,No,Very Important,Never,Yes,"Food Quality, Ambience, Staff Friendliness",Mood Music,"Poor Wi-Fi, Lack of personalization, Long check-in times",35,$10–$20,Yes,8,Yes,Yes
56,Male,Working Professional,14405,Married,Yes,1–2,Business,4–6 nights,Transit,Yes,Not Important,Sometimes,Yes,Privacy,"Personalized Room Temperature, Smart Mirror, Smart Lighting","Poor Wi-Fi, Noisy rooms, Other",125,$10–$20,Yes,9,Yes,Yes
45,Female,Student,33150,Married,Yes,3–5,Airbnb,1 night,Transit,No,Very Important,Never,Yes,Staff Friendliness,"Smart Mirror, Smart Lighting",Long check-in times,132,$20+,No,1,Yes,Yes
19,Prefer not to say,Working Professional,65145,Divorced,Yes,3–5,Airbnb,7+ nights,Business,Yes,Very Important,Always,Yes,"Staff Friendliness, Technology, Cleanliness","AI Concierge, Mood Music, Smart Lighting","Other, Long check-in times",130,< $5,Yes,7,Yes,Yes
30,Female,Working Professional,5900,Single,Yes,3–5,Luxury,4–6 nights,Transit,No,Somewhat Important,Never,Yes,"Food Quality, Cleanliness",Personalized Room Temperature,"Poor Wi-Fi, Lack of personalization, Noisy rooms",114,< $5,Yes,3,Yes,Yes
47,Female,Entrepreneur,34766,Single,No,3–5,Boutique,2–3 nights,Other,Yes,Very Important,Sometimes,Yes,"Cleanliness, Staff Friendliness, Privacy","Mood Music, AI Concierge","Long check-in times, Lack of personalization",152,$10–$20,No,7,No,No
27,Female,Retired,28169,Divorced,No,1–2,Luxury,4–6 nights,Transit,Yes,Very Important,Sometimes,Yes,Ambience,Personalized Room Temperature,Long check-in times,158,$5–$10,Yes,10,No,Yes
39,Male,Student,6223,Married,No,6–10,Airbnb,2–3 nights,Other,No,Very Important,Sometimes,Yes,Cleanliness,"Smart Lighting, AI Concierge","Poor Wi-Fi, Noisy rooms",36,< $5,Yes,6,Yes,No
42,Male,Other,39126,Married,No,6–10,Business,4–6 nights,Business,Yes,Somewhat Important,Always,Yes,"Staff Friendliness, Technology","Personalized Room Temperature, Mood Music","Other, Lack of personalization",187,$5–$10,Yes,6,Yes,No
25,Female,Working Professional,12788,Married,Yes,3–5,Airbnb,2–3 nights,Leisure,Yes,Somewhat Important,Always,Yes,Food Quality,"Personalized Room Temperature, AI Concierge","Long check-in times, Other, Noisy rooms",46,$5–$10,Yes,8,Yes,Yes
34,Male,Working Professional,26764,Married,No,1–2,Budget,4–6 nights,Business,Yes,Very Important,Always,Yes,"Cleanliness, Ambience","Mood Music, AI Concierge, Smart Mirror",Other,99,$5–$10,Yes,9,Yes,Yes
2,Female,Student,3434,Divorced,Yes,6–10,Airbnb,2–3 nights,Transit,Yes,Very Important,Always,Yes,"Technology, Staff Friendliness, Ambience","Personalized Room Temperature, AI Concierge, Smart Lighting","Lack of personalization, Poor Wi-Fi",75,$5–$10,Yes,9,No,Yes
24,Non-Binary,Working Professional,24616,Widowed,No,More than 10,Airbnb,7+ nights,Other,Yes,Somewhat Important,Sometimes,No,"Cleanliness, Technology, Food Quality",Personalized Room Temperature,Lack of personalization,83,< $5,Yes,7,Yes,Yes
32,Male,Entrepreneur,14638,Married,Yes,1–2,Budget,2–3 nights,Transit,Yes,Somewhat Important,Sometimes,No,Technology,"AI Concierge, Smart Mirror","Noisy rooms, Poor Wi-Fi, Long check-in times",174,< $5,No,8,Yes,Yes
22,Male,Entrepreneur,69124,Single,No,3–5,Boutique,2–3 nights,Transit,Yes,Very Important,Sometimes,Yes,Ambience,Smart Lighting,Poor Wi-Fi,126,$5–$10,Yes,8,Yes,Yes
51,Female,Student,2346,Divorced,Yes,1–2,Airbnb,4–6 nights,Leisure,Yes,Very Important,Always,No,"Cleanliness, Technology","Smart Lighting, Smart Mirror, AI Concierge","Long check-in times, Poor Wi-Fi, Noisy rooms",154,$5–$10,Yes,6,Yes,No
20,Male,Student,21693,Single,Yes,3–5,Luxury,4–6 nights,Transit,Yes,Very Important,Never,Yes,"Cleanliness, Privacy","Mood Music, Personalized Room Temperature, Smart Mirror","Poor Wi-Fi, Noisy rooms",151,$20+,Yes,3,Yes,Yes
30,Female,Working Professional,24531,Single,No,1–2,Airbnb,2–3 nights,Leisure,Yes,Very Important,Sometimes,No,"Staff Friendliness, Technology, Privacy",Smart Lighting,Noisy rooms,30,< $5,Yes,5,Yes,Yes
36,Male,Working Professional,51640,Divorced,Yes,3–5,Luxury,1 night,Other,Yes,Very Important,Never,Yes,Cleanliness,"Personalized Room Temperature, Smart Lighting",Noisy rooms,92,$20+,Yes,10,Yes,Yes
49,Female,Working Professional,34159,Single,No,3–5,Budget,2–3 nights,Other,No,Somewhat Important,Sometimes,Yes,Cleanliness,"Smart Mirror, Personalized Room Temperature, Mood Music","Noisy rooms, Poor Wi-Fi",157,$5–$10,Yes,10,Yes,No
20,Male,Working Professional,44010,Single,No,3–5,Airbnb,7+ nights,Leisure,Yes,Very Important,Always,Yes,"Privacy, Technology, Staff Friendliness","AI Concierge, Smart Mirror","Lack of personalization, Other, Poor Wi-Fi",152,$5–$10,Yes,7,Yes,Yes
46,Female,Entrepreneur,60032,Single,No,3–5,Budget,4–6 nights,Business,Yes,Not Important,Sometimes,Yes,"Cleanliness, Privacy","Smart Mirror, Personalized Room Temperature",Long check-in times,32,$5–$10,Yes,10,No,Yes
35,Female,Retired,79278,Divorced,No,3–5,Budget,4–6 nights,Other,No,Very Important,Sometimes,Yes,"Ambience, Staff Friendliness",Personalized Room Temperature,"Other, Lack of personalization, Long check-in times",171,$5–$10,No,6,Yes,Yes
25,Female,Working Professional,15067,Married,No,3–5,Boutique,1 night,Business,No,Very Important,Always,No,"Staff Friendliness, Technology, Ambience",Personalized Room Temperature,Poor Wi-Fi,150,$5–$10,Yes,8,Yes,Yes
39,Male,Retired,30889,Married,Yes,1–2,Airbnb,2–3 nights,Other,Yes,Somewhat Important,Always,Yes,Privacy,Smart Mirror,Lack of personalization,71,$5–$10,Yes,6,Yes,No
36,Female,Working Professional,73330,Single,No,1–2,Luxury,2–3 nights,Other,No,Very Important,Always,Yes,"Staff Friendliness, Food Quality",Smart Mirror,Poor Wi-Fi,140,$10–$20,Yes,9,No,Yes
28,Female,Working Professional,182069,Married,No,6–10,Luxury,4–6 nights,Event,Yes,Very Important,Always,No,Cleanliness,"AI Concierge, Mood Music","Noisy rooms, Other, Long check-in times",108,$5–$10,No,6,Yes,Yes
35,Male,Working Professional,88116,Married,No,1–2,Airbnb,1 night,Transit,No,Not Important,Sometimes,Yes,"Food Quality, Cleanliness","AI Concierge, Personalized Room Temperature, Mood Music",Noisy rooms,144,$10–$20,Yes,5,No,Yes
31,Male,Working Professional,18574,Single,Yes,6–10,Boutique,4–6 nights,Transit,Yes,Very Important,Sometimes,Yes,Privacy,Personalized Room Temperature,Noisy rooms,30,$10–$20,No,7,Yes,No
36,Male,Other,8684,Married,No,More than 10,Boutique,2–3 nights,Business,Yes,Somewhat Important,Always,Yes,Food Quality,Mood Music,"Noisy rooms, Poor Wi-Fi, Lack of personalization",102,< $5,Yes,9,Yes,Yes
41,Female,Working Professional,26886,Single,No,1–2,Boutique,1 night,Transit,Yes,Very Important,Sometimes,Yes,Ambience,"Smart Lighting, AI Concierge",Long check-in times,179,$10–$20,No,7,Yes,Yes
50,Female,Working Professional,54136,Widowed,No,3–5,Luxury,2–3 nights,Business,No,Very Important,Sometimes,Yes,"Ambience, Technology","Smart Lighting, AI Concierge, Mood Music","Lack of personalization, Noisy rooms, Long check-in times",146,$10–$20,Yes,6,No,Yes
22,Female,Working Professional,27135,Married,No,3–5,Budget,2–3 nights,Other,Yes,Somewhat Important,Always,Yes,"Ambience, Privacy","AI Concierge, Smart Lighting, Personalized Room Temperature",Noisy rooms,159,$20+,Yes,5,Yes,Yes
56,Male,Working Professional,26402,Divorced,Yes,6–10,Boutique,2–3 nights,Event,Yes,Very Important,Always,Yes,"Ambience, Staff Friendliness, Food Quality","AI Concierge, Mood Music, Smart Lighting","Poor Wi-Fi, Other, Long check-in times",108,< $5,No,4,Yes,Yes
15,Male,Retired,72863,Single,Yes,More than 10,Luxury,1 night,Event,Yes,Somewhat Important,Always,Yes,"Staff Friendliness, Technology, Privacy","AI Concierge, Smart Mirror","Poor Wi-Fi, Long check-in times",148,$10–$20,Yes,6,Yes,Yes
33,Female,Working Professional,17939,Married,No,6–10,Luxury,1 night,Other,No,Very Important,Sometimes,No,"Privacy, Technology, Food Quality",Smart Lighting,"Poor Wi-Fi, Noisy rooms, Other",111,$20+,No,7,Yes,Yes
40,Female,Working Professional,78585,Married,No,1–2,Budget,4–6 nights,Leisure,No,Very Important,Always,Yes,"Cleanliness, Ambience","Smart Mirror, AI Concierge","Long check-in times, Other",73,$10–$20,Yes,8,No,Yes
37,Prefer not to say,Working Professional,20889,Married,No,3–5,Airbnb,1 night,Leisure,Yes,Somewhat Important,Sometimes,Yes,"Technology, Staff Friendliness",AI Concierge,Lack of personalization,107,$5–$10,Yes,5,Yes,Yes
28,Male,Working Professional,15913,Widowed,Yes,3–5,Airbnb,2–3 nights,Transit,Yes,Somewhat Important,Sometimes,Yes,"Cleanliness, Staff Friendliness","AI Concierge, Smart Mirror, Mood Music",Poor Wi-Fi,192,$20+,Yes,8,No,Yes
32,Female,Student,24204,Single,No,3–5,Boutique,2–3 nights,Business,Yes,Very Important,Sometimes,Yes,Staff Friendliness,"Smart Mirror, Smart Lighting, Personalized Room Temperature",Poor Wi-Fi,176,$20+,Yes,6,Yes,Yes
30,Male,Working Professional,57494,Single,No,1–2,Boutique,2–3 nights,Event,Yes,Very Important,Always,Yes,"Cleanliness, Ambience, Food Quality","Mood Music, Smart Lighting",Noisy rooms,70,$10–$20,Yes,6,Yes,Yes
29,Male,Working Professional,5387,Married,No,1–2,Budget,4–6 nights,Transit,No,Somewhat Important,Sometimes,Yes,Staff Friendliness,Smart Lighting,"Lack of personalization, Other, Long check-in times",99,$5–$10,Yes,9,Yes,Yes
43,Female,Entrepreneur,8747,Married,No,6–10,Boutique,2–3 nights,Other,Yes,Very Important,Sometimes,Yes,Privacy,"Personalized Room Temperature, Smart Mirror",Long check-in times,73,$10–$20,No,2,Yes,Yes
38,Female,Entrepreneur,121002,Married,Yes,3–5,Budget,4–6 nights,Event,Yes,Not Important,Never,Yes,"Ambience, Technology","AI Concierge, Personalized Room Temperature","Other, Noisy rooms",128,< $5,No,5,Yes,No
28,Prefer not to say,Entrepreneur,7718,Single,No,3–5,Luxury,2–3 nights,Business,Yes,Somewhat Important,Sometimes,Yes,"Technology, Cleanliness","Personalized Room Temperature, AI Concierge, Mood Music","Poor Wi-Fi, Other",169,$5–$10,Yes,7,Yes,Yes
43,Male,Working Professional,33547,Married,Yes,3–5,Boutique,1 night,Business,Yes,Very Important,Sometimes,Yes,Staff Friendliness,"Smart Mirror, Smart Lighting",Other,221,$20+,Yes,7,Yes,Yes
38,Male,Working Professional,34634,Single,No,6–10,Luxury,1 night,Leisure,Yes,Not Important,Sometimes,Yes,"Food Quality, Ambience, Cleanliness","Personalized Room Temperature, Smart Mirror",Noisy rooms,48,$10–$20,Yes,4,No,Yes
43,Female,Working Professional,26904,Married,Yes,6–10,Business,2–3 nights,Transit,Yes,Very Important,Sometimes,Yes,"Staff Friendliness, Privacy","Mood Music, Smart Mirror, Smart Lighting","Poor Wi-Fi, Noisy rooms",162,$20+,Yes,6,Yes,Yes
41,Female,Entrepreneur,41396,Married,No,1–2,Budget,2–3 nights,Other,Yes,Very Important,Never,Yes,"Food Quality, Privacy","Mood Music, Smart Lighting, Smart Mirror",Poor Wi-Fi,119,$5–$10,Yes,9,Yes,Yes
26,Male,Working Professional,10445,Married,Yes,1–2,Business,4–6 nights,Event,Yes,Very Important,Always,Yes,"Staff Friendliness, Food Quality, Privacy","Smart Lighting, Smart Mirror",Other,101,$5–$10,Yes,5,No,No
29,Male,Working Professional,32177,Single,No,1–2,Boutique,2–3 nights,Business,Yes,Very Important,Never,No,"Ambience, Staff Friendliness","Smart Lighting, AI Concierge",Long check-in times,73,$20+,Yes,9,Yes,No
42,Male,Working Professional,18619,Married,No,More than 10,Luxury,2–3 nights,Event,Yes,Very Important,Sometimes,Yes,"Staff Friendliness, Food Quality, Cleanliness","Personalized Room Temperature, Smart Mirror, AI Concierge","Other, Noisy rooms",208,$5–$10,Yes,6,Yes,No
41,Female,Working Professional,43349,Single,No,3–5,Boutique,1 night,Other,Yes,Very Important,Sometimes,Yes,"Cleanliness, Ambience",AI Concierge,Lack of personalization,38,$10–$20,Yes,3,Yes,Yes
34,Male,Working Professional,6089,Single,Yes,3–5,Business,2–3 nights,Event,No,Very Important,Always,No,"Ambience, Privacy, Food Quality",AI Concierge,"Lack of personalization, Poor Wi-Fi",95,$5–$10,Yes,9,Yes,No
36,Male,Student,33840,Married,Yes,3–5,Boutique,2–3 nights,Transit,Yes,Very Important,Sometimes,Yes,"Privacy, Ambience","Smart Lighting, AI Concierge, Smart Mirror","Noisy rooms, Lack of personalization, Other",138,< $5,Yes,8,No,Yes
47,Male,Entrepreneur,8195,Divorced,Yes,3–5,Airbnb,2–3 nights,Leisure,Yes,Very Important,Sometimes,Yes,"Privacy, Technology","Smart Lighting, Mood Music, Smart Mirror","Noisy rooms, Poor Wi-Fi",142,< $5,Yes,4,Yes,No
29,Male,Working Professional,13064,Single,No,6–10,Business,2–3 nights,Event,No,Not Important,Always,Yes,Staff Friendliness,Smart Mirror,Lack of personalization,182,$5–$10,Yes,6,Yes,Yes
40,Male,Student,9872,Married,Yes,3–5,Boutique,1 night,Leisure,Yes,Very Important,Always,Yes,"Cleanliness, Technology","Smart Mirror, Personalized Room Temperature",Other,75,$5–$10,Yes,10,Yes,Yes
32,Female,Working Professional,8076,Divorced,No,1–2,Luxury,2–3 nights,Other,Yes,Very Important,Never,Yes,Privacy,"Personalized Room Temperature, Mood Music, AI Concierge","Lack of personalization, Noisy rooms",151,< $5,Yes,8,Yes,No
32,Male,Student,69881,Married,No,1–2,Boutique,4–6 nights,Leisure,Yes,Very Important,Sometimes,Yes,"Technology, Cleanliness","Personalized Room Temperature, Smart Mirror, AI Concierge","Poor Wi-Fi, Long check-in times",116,$5–$10,Yes,9,Yes,Yes
45,Female,Working Professional,13458,Single,No,3–5,Luxury,2–3 nights,Event,Yes,Very Important,Sometimes,Yes,"Cleanliness, Food Quality",AI Concierge,"Poor Wi-Fi, Long check-in times",122,$10–$20,Yes,5,Yes,No
43,Male,Entrepreneur,104759,Widowed,No,More than 10,Airbnb,2–3 nights,Event,Yes,Very Important,Always,Yes,"Staff Friendliness, Cleanliness",Mood Music,"Noisy rooms, Long check-in times, Lack of personalization",97,$10–$20,Yes,9,Yes,Yes
43,Female,Student,140164,Single,No,3–5,Boutique,7+ nights,Business,Yes,Very Important,Sometimes,No,Staff Friendliness,"AI Concierge, Smart Lighting, Personalized Room Temperature",Poor Wi-Fi,128,< $5,Yes,4,No,No
48,Female,Entrepreneur,33876,Single,Yes,6–10,Airbnb,2–3 nights,Event,No,Not Important,Sometimes,Yes,Privacy,Smart Mirror,"Long check-in times, Lack of personalization, Poor Wi-Fi",112,$10–$20,Yes,4,Yes,Yes
35,Female,Student,6172,Single,No,6–10,Business,2–3 nights,Leisure,No,Very Important,Sometimes,No,"Cleanliness, Ambience, Technology","AI Concierge, Smart Lighting, Smart Mirror","Long check-in times, Other, Noisy rooms",102,< $5,Yes,9,Yes,Yes
41,Female,Working Professional,18771,Married,No,1–2,Luxury,1 night,Business,Yes,Somewhat Important,Sometimes,No,Cleanliness,"Personalized Room Temperature, AI Concierge","Other, Noisy rooms, Long check-in times",93,< $5,Yes,4,Yes,Yes
31,Male,Entrepreneur,63926,Single,Yes,1–2,Business,2–3 nights,Event,Yes,Very Important,Sometimes,No,Cleanliness,"Personalized Room Temperature, Smart Mirror, Smart Lighting","Poor Wi-Fi, Lack of personalization",138,< $5,Yes,10,Yes,Yes
